eeschema (2012-01-19 BZR 3256)-stable  >> Creation date: 7/7/2012 7:56:21 PM

#Cmp ( order = Reference )
| BT1        BAT-HLD-001 3V COIN CELL; LNX-BAT-HLD-001
| 10K 1%       R29       ; SM0603      
| 10R          R5        ; SM0603      
| 10uF         C34       ; SM0805      
| 10uF         C36       ; SM0805      
| 10uF         C37       ; SM0805      
| 150uF 25V    C2        ; SMD_Capacitor_Case_F
| 150uF 25V    C9        ; SMD         
| 150uF 25V    C10       ; SMD_Capacitor_Case_F
| 150uF 25V    C11       ; SMD_Capacitor_Case_F
| 150uF 25V    C12       ; SMD_Capacitor_Case_F
| 150uF 25V    C18       ; SMD         
| 150uF 25V    C19       ; SMD_Capacitor_Case_F
| 150uF 25V    C20       ; SMD_Capacitor_Case_F
| 150uF 25V    C21       ; SMD_Capacitor_Case_F
| 150uF 25V    C27       ; SMD         
| 150uF 25V    C28       ; SMD_Capacitor_Case_F
| 150uF 25V    C29       ; SMD_Capacitor_Case_F
| 150uF 25V    C30       ; SMD_Capacitor_Case_F
| 15uH         L1        ; SM0603      
| 18nF         C33       ; SM0603      
| 1K           R30       ; SM0603      
| 1k           R31       ; SM0603      
| 1K           R39       ; SM0603      
| 1K           R41       ; SM0603      
| 1K           R42       ; SM0603      
| 1K           R43       ; SM0603      
| 1N4148 SMD   D13       ; SOD-123F    
| 1uF          C1        ; SM0603      
| 20020106-H021A01LF P2        ; bornier2    
| 20020106-H021A01LF P3        ; bornier2    
| 20020106-H021A01LF P4        ; bornier2    
| 22           R8        ; SM0603      
| 22           R9        ; SM0603      
| 22           R14       ; SM0603      
| 22           R15       ; SM0603      
| 22           R20       ; SM0603      
| 22           R21       ; SM0603      
| 2k4          R11       ; SM0603      
| 2k4          R17       ; SM0603      
| 2k4          R23       ; SM0603      
| 2k4 1%       R4        ; SM0603      
| 31.6K 1%     R28       ; SM0603      
| 4.7uF        C3        ; SM0805      
| 4.7uF        C4        ; SM0603      
| 4.7uF        C5        ; SM0805      
| 4.7uF        C6        ; SM0805      
| 4.7uF        C15       ; SM0805      
| 4.7uF        C24       ; SM0805      
| 470          R2        ; SM0603      
| 470          R24       ; SM0603      
| 470          R25       ; SM0603      
| 470          R26       ; SM0603      
| 470          R27       ; SM0603      
| 470          R40       ; SM0603      
| 470pF        C14       ; SM0603      
| 470pF        C23       ; SM0603      
| 470pF        C32       ; SM0603      
| 5pF          C40       ; SM0603      
| 5pF          C42       ; SM0603      
| BAS16        D2        ; SOD-123F    
| BAS16        D3        ; SOD-123F    
| BAS16        D6        ; SOD-123F    
| BAS16        D7        ; SOD-123F    
| BAS16        D10       ; SOD-123F    
| BAS16        D11       ; SOD-123F    
| BAT-HLD-001 3V COIN CELL BT1       ; LNX-BAT-HLD-001
| CONN_2       P1        ; bornier2    
| CONN_3X2     P5        ; TC2030-MCP-NL
| CRYSTAL      X1        ; ABS07-XTAL  
| DSPIC33FJ16GS502-I/SO U1        ; SO28        
| FDS6298      Q1        ; FDS6298     
| FDS6298      Q2        ; FDS6298     
| FDS6298      Q3        ; FDS6298     
| FDS6298      Q4        ; FDS6298     
| FDS6298      Q5        ; FDS6298     
| FDS6298      Q6        ; FDS6298     
| INDUCTOR     L2        ; Wurth 7443321000
| INDUCTOR     L3        ; Wurth 7443321000
| INDUCTOR     L4        ; Wurth 7443321000
| LED          D15       ; LED-0603    
| LED          D16       ; LED-0603    
| LED          D17       ; LED-0603    
| LED          D18       ; LED-0603    
| LED          D19       ; LED-0603    
| LM5101       U2        ; SO8E        
| LM5101       U3        ; SO8E        
| LM5101       U4        ; SO8E        
| MCP16301     U5        ; SOT23_6     
| MCP79410-I/ST U6        ; MSOP_8      
| MOLEX 053398-0471 J2        ; PICOBLADE4  
| MOLEX 053398-0871 J1        ; PICOBLADE8  
| SS14         D1        ; DO-214AC    
| SS14         D5        ; DO-214AC    
| SS14         D9        ; DO-214AC    
| SS14         D14       ; DO-214AC    
| SS33         D4        ; DO-214A     
| SS33         D8        ; DO-214A     
| SS33         D12       ; DO-214A     
#End Cmp

#End List
